circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
ibex,sky130hd,ibex,13.44,26.459,sky130hd,0.042,0,2,0,0,12,89,0.372,0.197,42,0.00158007,0,0,633286,836145,0,133906,0.227134,0,0,0,0.0675662,0.363837,544,13.43841993,13.212866,2.3891232026015583,2.1792538455363313
ibex,sky130hd,ibex,14.046,31.098,sky130hd,0.165,0,0,0,0,25,89,0.325,0.21,84,0.0131228,0,0,529720,727884,0,136086,-0.0927667,-0.19165,3,0,0.0630879,0.416886,448,14.0328772,14.1387667,2.2559897390702157,2.1255715960213557
ibex,sky130hd,ibex,6.457,20.602,sky130hd,0.001,0,2,3,0,27,88,0.409,0.522,60,-4.49879,-5269.28,1813,859162,1094572,0,144553,-4.30365,-5197.26,1809,0,0.173969,0.327436,2098,10.95579,10.76065,2.570064124786395,2.2864248368806255
ibex,sky130hd,ibex,13.653,25.775,sky130hd,0.032,0,2,0,0,12,113,0.392,0.175,76,-0.0111866,-0.0111866,1,646688,853065,0,134654,0.259677,0,0,0,0.0689938,0.360504,515,13.6641866,13.393323,2.4342750686005843,2.215821004283666
ibex,sky130hd,ibex,12.867,20.694,sky130hd,0.02,1,1,3,0,12,112,0.388,0.181,42,0.00462919,0,0,848413,1070961,0,139358,-0.0293783,-0.0293783,1,0,0.139164,0.289429,853,12.862370810000002,12.8963783,2.7264384863043576,2.4422903685598527
ibex,sky130hd,ibex,14.986,36.062,sky130hd,0.24,0,0,0,0,39,91,0.283,0.264,37,0.308782,0,0,494650,687066,0,139228,0.311752,0,0,0,0.0571795,0.474911,401,14.677218,14.674248,2.251778585110084,2.1214828943959065
ibex,sky130hd,ibex,6.881,21.336,sky130hd,0.02,0,1,3,0,1,88,0.403,0.63,100,-4.73187,-5330.11,1816,798551,1045904,0,142743,-4.16955,-4908.32,1791,0,0.158524,0.323237,1441,11.612870000000001,11.050550000000001,2.520671158878926,2.2513449969708126
ibex,sky130hd,ibex,10.347,51.515,sky130hd,0.119,0,2,0,1,11,112,0.248,0.501,77,-0.631729,-11.3925,111,551520,774266,0,152030,-1.68208,-259.704,926,158,0.0897608,0.70678,1068,10.978729,12.02908,2.013808835407395,2.0001298868772843
ibex,sky130hd,ibex,14.969,30.302,sky130hd,0.104,0,0,0,0,34,86,0.281,0.264,61,0.158841,0,0,552042,760961,0,135553,0.0498703,0,0,0,0.0589545,0.406913,428,14.810158999999999,14.9191297,2.368209219478631,2.2341095010319867
ibex,sky130hd,ibex,13.559,33.323,sky130hd,0.05,1,3,0,0,12,110,0.439,0.188,52,0.0263798,-0.00127365,0,652149,849363,0,136505,-0.0986811,-3.0855,80,0,0.117112,0.433951,655,13.532620199999998,13.6576811,2.4320496831891583,2.2341496993753727
ibex,sky130hd,ibex,14.773,35.579,sky130hd,0.096,0,0,0,0,39,91,0.28,0.266,1,0.103427,0,0,533375,733711,0,136526,0.162971,0,0,0,0.0595694,0.473958,429,14.669573,14.610028999999999,2.3213593532738885,2.1736167439578127
ibex,sky130hd,ibex,13.766,34.047,sky130hd,0.146,0,0,0,0,12,113,0.322,0.213,76,0.066458,0,0,522959,721697,0,136224,-0.0326308,-0.0326308,1,0,0.0636788,0.45448,458,13.699542,13.7986308,2.2129680179208933,2.0884439096211946
ibex,sky130hd,ibex,14.097,33.395,sky130hd,0.156,0,3,0,0,39,81,0.323,0.209,7,0.0249791,0,0,566593,751249,0,132410,0.0969802,0,0,0,0.0622363,0.449509,464,14.0720209,14.000019799999999,2.3265254207282373,2.1424504163803766
ibex,sky130hd,ibex,13.672,33.351,sky130hd,0.057,0,3,0,0,1,113,0.439,0.596,3,-0.0388001,-0.0445741,2,599794,806514,0,136369,0.150869,0,0,0,0.066631,0.456046,537,13.7108001,13.521131,2.3534624135588986,2.169313742441741
ibex,sky130hd,ibex,13.678,26.531,sky130hd,0.057,0,0,0,0,12,1,0.374,0.186,86,-0.095949,-0.095949,1,610018,821846,0,132728,0.0116964,0,0,0,0.0670196,0.364569,502,13.773949,13.6663036,2.377844557828814,2.200859009347319
ibex,sky130hd,ibex,12.948,24.113,sky130hd,0.028,1,1,3,0,21,102,0.401,0.629,65,0.000266454,0,0,807430,1041000,0,140943,-0.108123,-0.263094,9,0,0.134541,0.33053,828,12.947733546,13.056123000000001,2.659928972150091,2.4190720199960056
