circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
ibex,asap7,ibex,2345.326,50.688,asap7,0.723,1,3,0,0,30,97,0.182,0.304,3,588.904,0,0,82498.3,97116,0,222592,590.281,0,0,0,0.00654814,0.592931,273,1756.422,1755.045,2.229861080024799,2.13192535513289
ibex,asap7,ibex,3158.503,36.312,asap7,0.565,0,0,0,1,13,1,0.19,0.404,69,891.5,0,0,83808.5,104132,0,232374,891.904,0,0,0,0.0217989,0.428811,275,2267.003,2266.599,2.6343009411631053,2.5686495038953554
ibex,asap7,ibex,8754.374,56.935,asap7,0.75,1,1,0,0,28,119,0.19,0.555,86,2501.38,0,0,76270.9,90348,0,230210,2500.54,0,0,0,0.00168603,0.663006,272,6252.994,6253.834,5.600649566948079,5.378721243334691
ibex,asap7,ibex,3338.961,21.589,asap7,0.217,0,0,0,1,13,102,0.193,0.472,91,951.864,0,0,105096,130520,0,227333,952.007,0,0,0,0.0216017,0.26158,280,2387.0969999999998,2386.9539999999997,2.9550014696605538,2.885974415894265
ibex,asap7,ibex,4499.066,22.552,asap7,0.617,0,0,0,1,13,105,0.25,0.11,47,1295.76,0,0,87145.2,107520,0,229518,1291.67,0,0,0,0.0153823,0.268167,275,3203.3059999999996,3207.3959999999997,3.3860054885905146,3.289291767069802
ibex,asap7,ibex,3149.95,37.01,asap7,0.549,0,0,0,1,1,1,0.19,0.39,80,889.551,0,0,83727.1,104110,0,232082,881.929,0,0,0,0.0219038,0.437874,275,2260.399,2268.0209999999997,2.628376789737226,2.5695034924628697
ibex,asap7,ibex,7847.338,52.611,asap7,0.744,1,2,0,0,14,89,0.24,0.32,26,2232.56,0,0,78343.6,92138,0,221250,2235.31,0,0,0,0.00191754,0.613969,272,5614.778,5612.028,5.135002743843144,4.92267854717904
ibex,asap7,ibex,571.235,50.238,asap7,0.755,1,2,0,0,36,96,0.164,0.153,65,-855.464,-1154900.0,1896,83930.6,99177,0,231029,-1226.71,-1485130.0,2685,56,0.0271272,0.601105,1060,1426.699,1797.9450000000002,1.9931795230419858,2.181323729802674
ibex,asap7,ibex,4270.251,21.387,asap7,0.206,0,0,0,1,32,105,0.306,0.469,43,1235.6,0,0,106379,131599,0,218526,1237.52,0,0,0,0.0167408,0.259099,283,3034.6510000000003,3032.731,3.4638682923643414,3.3698209713288576
ibex,asap7,ibex,3262.943,20.651,asap7,0.264,0,0,0,1,1,107,0.194,0.398,69,929.75,0,0,102564,127404,0,225265,932.008,0,0,0,0.0220334,0.249584,281,2333.193,2330.9350000000004,2.886566117708972,2.8177855714698943
ibex,asap7,ibex,470.953,53.95,asap7,0.789,1,2,1,0,27,91,0.162,0.185,95,-826.26,-1338340.0,1954,115968,145372,0,277885,-994.23,-1594190.0,2040,152,0.0333814,0.655705,1158,1297.213,1465.183,2.2386537623671874,2.3375281732710014
ibex,asap7,ibex,5721.924,50.716,asap7,0.641,1,1,0,1,15,114,0.365,0.237,76,1596.47,0,0,74076.1,87475,0,217504,1592.78,0,0,0,0.00258579,0.58978,274,4125.454,4129.144,3.9504912026695482,3.792676221600387
ibex,asap7,ibex,4665.764,33.128,asap7,0.42,0,0,0,1,15,86,0.323,0.298,10,1344.94,0,0,86934.9,107843,0,222159,1342.44,0,0,0,0.0148546,0.393031,277,3320.824,3323.324,3.4735898855853824,3.3772720644365464
ibex,asap7,ibex,5054.644,26.504,asap7,0.632,0,0,0,1,18,105,0.318,0.272,38,1463.43,0,0,86368.3,106608,0,230841,1463.31,0,0,0,0.0136852,0.313977,275,3591.214,3591.3340000000003,3.67421792348805,3.5634808639114572
